,Title,Year,Decade,House,Category,Flesch_Kincaid_score,flesch_score,dale_chall_score,spache_score,ari_score,coleman_liau_score,smog_score,linsear_write_score,Flesch_Kincaid_gl,flesch_gl,dale_chall_gl,spache_gl,ari_gl,coleman_liau_gl,smog_gl,linsear_write_gl,Movie_len,Avg_WordLen_Movie,Avg_PhrLen_Movie,Avg_WordLen_Phrase,Num_Adjectives,Num_Adverbs,Short_Phrases%
10,Spies in Disguise,2019,2010,Blue,Animation,0.2929722422755053,0.5869092013664048,0.13805296098610087,0.1406237700442866,0.4348262403480757,0.7594077472910725,0.3377946620776369,0.13767409274568293,1,5,10,4,0,1,6,2,0.3732456140350877,0.12943632567849683,0.3097251585623678,0.2281481481481481,0.4045954045954046,0.3828125,0.07252692743764172
11,Rio,2011,2010,Blue,Animation,0.25153082188216624,0.6786389763188616,0.08081407727455969,0.08659760552296081,0.4051212756113575,0.7449160588224115,0.2860478649504663,0.14670793423468856,1,5,8,4,0,1,6,2,0.387719298245614,0.10647181628392477,0.3171247357293868,0.17629629629629628,0.4145854145854146,0.44247159090909094,0.07603328378355288
12,The Peanuts Movie,2015,2010,Blue,Animation,0.30309836456032346,0.6098108348391311,0.09931347094416863,0.10196191758136376,0.4580321900025511,0.792192379195374,0.32233935604887964,0.17427898599903766,2,5,10,4,0,2,6,2,0.19824561403508772,0.14613778705636749,0.39957716701902746,0.21925925925925926,0.28471528471528473,0.25,0.07390373989971576
13,The Land Before Time IX-Journey to Big Water,2002,2000,Universal,Animation,0.3076514357190204,0.6257495485006794,0.15824081167074744,0.15991574029698885,0.40863920860284586,0.7590450918424727,0.3491295400728421,0.19895720216755025,2,5,10,4,0,1,6,3,0.20986842105263157,0.12526096033402923,0.3551797040169133,0.1896296296296296,0.31368631368631367,0.35866477272727276,0.2590621731022877
14,The Land Before Time XII-The Great Day Of The Flyers,2006,2000,Universal,Animation,0.26015022102559804,0.7009755771363868,0.0470690314092419,0.037012011278244716,0.41074804154728706,0.7592893096404206,0.2511268698648184,0.17896219892900833,1,5,8,4,0,1,6,2,0.20043859649122805,0.09185803757828803,0.41860465116279066,0.1140740740740741,0.26673326673326675,0.3231534090909091,0.09568076898754188
15,The Land Before Time XI,2005,2000,Universal,Animation,0.27130063489952405,0.7031758762232556,0.2379662287213571,0.26137847761234645,0.37123420896771503,0.7319175042472494,0.3046218981902099,0.2040455260712372,1,5,12,5,0,0,6,3,0.2611842105263158,0.11064718162839238,0.3446088794926004,0.1525925925925926,0.4255744255744256,0.3700284090909091,0.18086068671548763
16,Balto III Wings of Change,2004,2000,Universal,Animation,0.2077262531430129,0.7357242883568871,0.12717858850546582,0.10720566438296276,0.3485523126455176,0.6897468208244338,0.22812413382482802,0.12033346986235965,0,5,10,4,0,-1,5,1,0.0368421052631579,0.0793319415448851,0.27906976744186046,0.17333333333333334,0.04395604395604395,0.049715909090909095,0.24092531069275258
17,The Land Before Time X-The Great Longneck Migration,2003,2000,Universal,Animation,0.2479837722210789,0.7172189969685251,0.04505562120571571,0.03724281018087061,0.42743860078747775,0.7706115904005182,0.3085226923358626,0.17773480357909385,1,5,8,4,0,2,6,2,0.24956140350877193,0.10438413361169097,0.29704016913319237,0.1585185185185185,0.2887112887112887,0.33948863636363635,0.6120159247195078
18,The Land Before Time XIII -The Wisdom of Friends,2007,2000,Universal,Animation,0.2399306375801397,0.7289051161657674,0.015391248500700285,0.01301709789545247,0.4083082612964932,0.7559087917960633,0.2283941830390397,0.16861140351761386,1,5,8,4,0,1,5,2,0.16644736842105262,0.08977035490605423,0.3816067653276955,0.14666666666666672,0.1938061938061938,0.2578125,0.05324658328191896
19,Curious George 2 Follow That Monkey,2009,2000,Universal,Animation,0.35923729246895875,0.4804578311438417,0.12132609233155632,0.11844802089704998,0.4832116347366264,0.8031977930024743,0.4236643943448698,0.1614501329858255,2,6,10,4,0,3,7,2,0.1712719298245614,0.16492693110647183,0.3816067653276955,0.20740740740740737,0.2127872127872128,0.20383522727272727,0.11029103566416996
20,The Land Before Time VII-The Stone of Cold Fire,2000,2000,Universal,Animation,0.3149090725106942,0.6197287635644324,0.04183600058834725,0.028614375315764273,0.4626099531165666,0.799206661089703,0.3689290120260441,0.2076589384359414,2,5,8,4,0,2,6,3,0.2949561403508772,0.12943632567849683,0.3181818181818182,0.20444444444444443,0.44455544455544455,0.43678977272727276,0.5316077650572424
21,Balto II Wolf Quest,2002,2000,Universal,Animation,0.2734925729115669,0.6790438909664536,0.06626693519585114,0.06396177178577034,0.4128808244972487,0.7612248901602845,0.2635134941384656,0.18246443490140327,1,5,8,4,0,1,6,2,0.20219298245614034,0.10229645093945716,0.38583509513742065,0.15555555555555545,0.23476523476523475,0.28267045454545453,0.2066001631219023
22,Van Helsing The London Assignment,2004,2000,Universal,Animation,0.3504087762177759,0.5278291467225045,0.1290665466747557,0.15882728500682053,0.4824864871440672,0.8113142927539307,0.4368139063106352,0.19116298216616634,2,5,10,4,0,3,7,2,0.055482456140350876,0.1503131524008351,0.43763213530655387,0.1837037037037037,0.1108891108891109,0.09161931818181819,0.03294923411541487
23,The Chronicles Of Riddick-Dark Fury,2004,2000,Universal,Animation,0.37689740391002857,0.4797391327508782,0.09728054472064784,0.1357644987095845,0.5285578430625515,0.8454551606795382,0.4658696513977556,0.1955355720579892,2,6,10,4,2,4,7,2,0.0574561403508772,0.18580375782880998,0.41331923890063416,0.23703703703703705,0.0899100899100899,0.10298295454545454,0.016053391053391056
24,The Land Before Time VIII-The Big Freeze,2001,2000,Universal,Animation,0.277710305453401,0.6796336083866836,0.07485942947144741,0.08759782131332294,0.4618396178912876,0.7981406536792067,0.3552564070223442,0.1980007929511543,1,5,8,4,0,2,6,3,0.21754385964912282,0.1189979123173277,0.3488372093023256,0.20740740740740737,0.3306693306693307,0.34517045454545453,0.14623125898541797
25,Curious George 3 Back to the Jungle,2015,2010,Universal,Animation,0.32526844084617795,0.5842980278929537,0.08818300523903501,0.12073770815445363,0.4821408028354364,0.8124389285820002,0.398441945871502,0.1959021357391174,2,5,8,4,0,3,7,2,0.1800438596491228,0.13778705636743216,0.40803382663847776,0.15555555555555545,0.23476523476523475,0.23082386363636365,0.03721708222257069
26,The Land Before Time XIV-Journey Of The Brave,2016,2010,Universal,Animation,0.2499950631082629,0.6936592346815891,0.036818140646140314,0.03624575391718576,0.4362993632303833,0.7723640967893086,0.2614246520333149,0.1558800218943036,1,5,8,4,0,2,6,2,0.22039473684210525,0.11273486430062629,0.3668076109936575,0.20740740740740737,0.23376623376623376,0.2947443181818182,0.07224759005580926
27,The Little Engine That Could,2010,2010,Universal,Animation,0.23416384073766786,0.6978562604997878,0.06643248464379857,0.06749810071927154,0.40790296129121456,0.7405890758349096,0.25426900075146874,0.13239348358673028,1,5,8,4,0,1,6,2,0.27653508771929824,0.1169102296450939,0.3202959830866807,0.21037037037037032,0.3246753246753247,0.35795454545454547,0.08783617073772514
28,Curious George Royal Monkey,2019,2010,Universal,Animation,0.32431715638155445,0.6336884979682949,0.3172362677460294,0.3792237614741454,0.3632758606030483,0.7250723164693118,0.4060123606011145,0.2401074041433165,2,5,13,6,0,0,7,3,0.25,0.12317327766179531,0.35306553911205074,0.1644444444444445,0.3276723276723277,0.2684659090909091,0.2526777648728869
29,The Land Before Time IV-Journey Through the Mists,1996,1990,Universal,Animation,0.2460767778497886,0.6819300792265137,0.07492934294705311,0.07507511392673116,0.4197132466429805,0.7525524808584856,0.2911043623032749,0.14089210565393442,1,5,8,4,0,1,6,2,0.27324561403508774,0.1148225469728601,0.24524312896405914,0.1896296296296296,0.27372627372627373,0.3146306818181818,0.5583119475335044
30,The Land Before Time V-The Mysterious Island,1997,1990,Universal,Animation,0.2563632945358532,0.7058628334276484,0.12050930776657852,0.12157223162826415,0.39633403355896174,0.7483587832275144,0.2862965684078901,0.17971245009850362,1,5,10,4,0,1,6,2,0.17719298245614035,0.11064718162839238,0.3424947145877378,0.21037037037037032,0.25574425574425574,0.26278409090909094,0.13843815180118074
31,The Land Before Time VI-The Secret of Saurus Rock,1998,1990,Universal,Animation,0.2522589987989395,0.6706427265512032,0.068964520503081,0.06642204655555195,0.4170396828300286,0.7506736136827031,0.27694648265474275,0.13992765640666635,1,5,8,4,0,1,6,2,0.2118421052631579,0.12526096033402923,0.29704016913319237,0.2474074074074074,0.27672327672327673,0.3068181818181818,0.04816017316017315
32,The Land Before Time II-The Great Valley Adventure,1994,1990,Universal,Animation,0.2255988109359808,0.6956416092588049,0.12627161069930135,0.11277714719052155,0.387483586906716,0.7131945492739766,0.2403036156833497,0.11487987250522955,1,5,10,4,0,0,5,1,0.20460526315789473,0.12734864300626303,0.26849894291754756,0.20444444444444443,0.1978021978021978,0.25355113636363635,0.3093298577169545
33,The Land Before Time III-The Time of The Great Giving,1995,1990,Universal,Animation,0.2601158232209889,0.6687138109831925,0.06748834322210473,0.0766206230019203,0.4345621925147794,0.7689874938833597,0.2803462227276511,0.15172826074117474,1,5,8,4,0,2,6,2,0.2155701754385965,0.1189979123173277,0.33509513742071884,0.197037037037037,0.2547452547452547,0.29829545454545453,0.10532700187872601
34,The Grinch,2018,2010,Illumination,Animation,0.2552053615404527,0.6730905730538783,0.07620341940397346,0.08483550294680686,0.431312197607396,0.7647525625792736,0.2792600808291439,0.14732479518046548,1,5,8,4,0,1,6,2,0.2513157894736842,0.12108559498956162,0.3572938689217759,0.19851851851851843,0.32967032967032966,0.3053977272727273,0.09143679046591667
35,Despicable Me 2,2013,2010,Illumination,Animation,0.5574187900574901,0.3316469697184217,0.10631941639723286,0.1953224855229357,0.6525869680206253,0.908812420667752,0.6632332520576896,0.3938641710893352,4,6,10,5,4,6,8,5,0.35789473684210527,0.17745302713987465,0.8202959830866806,0.09925925925925927,0.7942057942057942,0.9254261363636364,0.026252235311468763
36,Hop,2011,2010,Illumination,Animation,0.2608333819653592,0.6569147815944825,0.11023766363960208,0.09751883690466123,0.3968886040208269,0.7368655053658076,0.3122210445196525,0.14483013591874522,1,5,10,4,0,1,6,2,0.40964912280701754,0.11273486430062629,0.3340380549682875,0.18814814814814818,0.5134865134865135,0.4744318181818182,0.06060606060606061
37,The Secret Life of Pets 2,2019,2010,Illumination,Animation,0.23238693906839805,0.7158921872336586,0.227461623645154,0.24052301394444744,0.32868967704232604,0.689286010407921,0.2355330103516379,0.14448294029093212,1,5,12,5,0,-1,5,2,0.35285087719298247,0.0835073068893527,0.2822410147991543,0.197037037037037,0.37362637362637363,0.31960227272727276,0.23614264226389003
38,Despicable Me 3,2017,2010,Illumination,Animation,0.2355316803770735,0.678437145185609,0.12522360042541705,0.10816346206303627,0.3745312268214421,0.7046363676340909,0.2865920826110163,0.11950512521573972,1,5,10,4,0,0,6,1,0.3125,0.10020876826722336,0.2674418604651162,0.23555555555555552,0.34665334665334663,0.2890625,0.12308659437372309
39,The Secret Life of Pets,2016,2010,Illumination,Animation,0.2171537470514771,0.7262720379063548,0.09322315570428152,0.09191152946929293,0.3807033415643599,0.7187039076779812,0.22499062313536733,0.1274541383269941,1,5,10,4,0,0,5,2,0.2916666666666667,0.08559498956158662,0.339323467230444,0.16296296296296298,0.33966033966033965,0.34303977272727276,0.027856025039123634
40,Despicable Me,2010,2010,Illumination,Animation,0.26993365510870754,0.6395389661872461,0.0868759615666439,0.07004933895165022,0.40389870190000293,0.7418052845619062,0.3123584144919277,0.1443999203878378,1,5,8,4,0,1,6,2,0.22346491228070176,0.1169102296450939,0.36892177589852004,0.16888888888888898,0.27172827172827174,0.2791193181818182,0.06114474644682039
41,Minions,2015,2010,Illumination,Animation,0.3173664891077653,0.5243752501617807,0.15031645024795104,0.18012777932118718,0.444223776434895,0.7542501279992311,0.3241376141764071,0.12071223601543928,2,5,10,4,0,1,6,1,0.20285087719298245,0.1607515657620041,0.30549682875264267,0.26222222222222225,0.2627372627372627,0.2080965909090909,0.11134568770036748
42,Sing,2016,2010,Illumination,Animation,0.2974351066726798,0.6473743276460286,0.09824919171922407,0.1403297383974056,0.4437404600376016,0.7850847576083105,0.32274187619553163,0.1989683810491632,1,5,10,4,0,2,6,3,0.4763157894736842,0.10647181628392477,0.37737843551797035,0.14666666666666672,0.5184815184815185,0.6036931818181819,0.03747210643762368
43,The Lorax,2012,2010,Illumination,Animation,0.2654155419802233,0.6746566134772163,0.07210709155968176,0.07686693638783293,0.4202732286307403,0.763216714603003,0.34020826836825435,0.17125203991687002,1,5,8,4,0,1,6,2,0.2677631578947368,0.11273486430062629,0.36257928118393234,0.16296296296296298,0.29270729270729273,0.3387784090909091,0.030172048478684637
44,The Road to El Dorado,2000,2000,Dreamworks,Animation,0.2592823379232189,0.7182632491905663,0.31707919067827506,0.383164830220204,0.3110371651903673,0.6872645572624759,0.33803964898284444,0.2004182114402512,1,5,13,6,0,-1,6,3,0.3418859649122807,0.10647181628392477,0.3245243128964059,0.14370370370370378,0.40559440559440557,0.3380681818181818,0.31869242542377774
45,Over the Hedge,2006,2000,Dreamworks,Animation,0.2322223317885389,0.6956064969648135,0.1001474449564984,0.09054654965695252,0.3927863928507438,0.7259448053766734,0.26882327401973705,0.12815440916614046,1,5,10,4,0,0,6,2,0.39956140350877195,0.10438413361169097,0.31289640591966167,0.20000000000000007,0.42957042957042957,0.44105113636363635,0.06206415620641561
46,Shanghai Knights,2003,2000,Dreamworks,Animation,0.2910531567320449,0.6084899273066524,0.1452356814022837,0.14875970219013235,0.44143492374781296,0.772990958649495,0.3412465135084677,0.15441403288074315,1,5,10,4,0,2,6,2,0.3236842105263158,0.12734864300626303,0.36786469344608874,0.1955555555555556,0.44255744255744256,0.3380681818181818,0.11546960205964038
47,Monsters Vs Aliens,2009,2000,Dreamworks,Animation,0.3513493220123587,0.5112469018705008,0.1305920462721325,0.15259990149125954,0.4762329160009704,0.8034683947202703,0.4242704508533813,0.17623405734369932,2,6,10,4,0,3,7,2,0.2618421052631579,0.14822546972860118,0.40274841437632136,0.21777777777777785,0.36363636363636365,0.36434659090909094,0.07481580378776641
48,Madagascar,2005,2000,Dreamworks,Animation,0.2354142590726511,0.6825146049762858,0.10020404418131357,0.0993221787934877,0.3910220881115412,0.7197416841208654,0.24304904049645826,0.1197143249541784,1,5,10,4,0,0,5,1,0.3969298245614035,0.10020876826722336,0.3160676532769555,0.17925925925925923,0.42957042957042957,0.44105113636363635,0.08922305764411029
49,Chicken Run,2000,2000,Dreamworks,Animation,0.2556452790893641,0.6644666005308655,0.09320832774022914,0.10833699828690556,0.42462758702049697,0.7563205472119617,0.2907697611586634,0.14113481731539124,1,5,10,4,0,1,6,2,0.2885964912280702,0.1169102296450939,0.3340380549682875,0.2029629629629629,0.32167832167832167,0.34375,0.11253358621779673
50,Wallace And Gromit In The Curse Of The Were-Rabbit,2005,2000,Dreamworks,Animation,0.3970901296659533,0.4560615046327912,0.21275877574338,0.2721629653748662,0.4963201288942917,0.8233961709808083,0.4532575422120657,0.2066178772217076,3,6,12,5,0,3,7,3,0.08223684210526316,0.2379958246346554,0.39957716701902746,0.24592592592592588,0.1758241758241758,0.11576704545454546,0.06076122205154464
51,Shark Tale,2004,2000,Dreamworks,Animation,0.2473154237129606,0.6735752598231963,0.13001687276632126,0.14248619606080082,0.3938585390292801,0.7303085660242786,0.2774023162557105,0.13427393425891782,1,5,10,4,0,0,6,2,0.5072368421052632,0.09812108559498955,0.2991543340380549,0.18666666666666665,0.5174825174825175,0.49715909090909094,0.126984126984127
52,Shrek 2,2004,2000,Dreamworks,Animation,0.30268348709211,0.6095778901760358,0.08458504465729777,0.1274411071321998,0.4522848938816864,0.7877450597579838,0.3240442404259275,0.1735162217983457,2,5,8,4,0,2,6,2,0.3350877192982456,0.12943632567849683,0.3911205073995771,0.17925925925925923,0.3916083916083916,0.41903409090909094,0.06635666215394276
53,Sinbad Legend of the Seven Seas,2003,2000,Dreamworks,Animation,0.2678601539512858,0.6530401588761943,0.0636069876474884,0.08533840906101631,0.4267228468890975,0.7627244468752156,0.3197127184623243,0.15383791708733266,1,5,8,4,0,1,6,2,0.21271929824561403,0.1189979123173277,0.3424947145877378,0.2281481481481481,0.24175824175824176,0.28053977272727276,0.04797843665768194
54,Flushed Away,2006,2000,Dreamworks,Animation,0.383968173763961,0.5436628713440848,0.09076284787455537,0.16174091648321842,0.5274515004329536,0.8437201330561134,0.4417821873397312,0.2629262468910404,2,5,10,4,2,4,7,3,0.5094298245614035,0.12734864300626303,0.5634249471458773,0.09037037037037043,0.8891108891108891,1.0,0.0070254376097724615
55,The Boss Baby,2017,2010,Dreamworks,Animation,0.2770259889304595,0.6101195803447671,0.09169012637498343,0.10069021178821913,0.4092227807514537,0.7365463844023545,0.2944920972660655,0.12807728752614944,1,5,10,4,0,1,6,2,0.3842105263157895,0.1169102296450939,0.328752642706131,0.19111111111111112,0.43356643356643354,0.42542613636363635,0.06442272891784293
56,Mr Peabody Sherman,2014,2010,Dreamworks,Animation,0.3599873025256007,0.4945765535213624,0.16895980490740692,0.1776811593608807,0.4658291964212834,0.7956254038005474,0.4305860878418789,0.1763574338433947,2,6,10,4,0,2,7,2,0.3581140350877193,0.1524008350730689,0.34038054968287523,0.2666666666666666,0.4205794205794206,0.4616477272727273,0.06231287252761425
57,Kung Fu Panda 2,2011,2010,Dreamworks,Animation,0.2545362558053075,0.6958360258515026,0.09222565456357124,0.06378584763181494,0.3955620561002431,0.7452354014819466,0.27000124090612143,0.1661985903858547,1,5,10,4,0,1,6,2,0.22587719298245615,0.1148225469728601,0.36892177589852004,0.14666666666666672,0.26173826173826176,0.26278409090909094,0.15640589569161
58,Kung Fu Panda 3,2016,2010,Dreamworks,Animation,0.26777910162323404,0.6405243398804448,0.10453071616609333,0.08135199172178376,0.4070481253830874,0.7426557073256987,0.26973610104801393,0.1381707195430615,1,5,10,4,0,1,6,2,0.30416666666666664,0.1148225469728601,0.3424947145877378,0.19407407407407407,0.35764235764235763,0.3671875,0.05356202512600618
59,Puss in Boots 3D,2011,2010,Dreamworks,Animation,0.2563093465673857,0.6779161996764831,0.053489963291584515,0.04889343412802949,0.4121644392760957,0.7532404183173655,0.28791350990971465,0.154282966074783,1,5,8,4,0,1,6,2,0.21710526315789475,0.11273486430062629,0.39217758985200846,0.1703703703703704,0.25574425574425574,0.25426136363636365,0.10987654320987654
60,Rise of the Guardians,2012,2010,Dreamworks,Animation,0.21285734436962028,0.7292194536845278,0.05384488175167135,0.06779278420487556,0.3798464951988868,0.7148901755920456,0.24330294570346975,0.1241411877137442,1,5,8,4,0,0,5,1,0.29473684210526313,0.10647181628392477,0.339323467230444,0.16888888888888898,0.3256743256743257,0.33735795454545453,0.07881162692878176
61,The Croods,2013,2010,Dreamworks,Animation,0.18007917950957486,0.7835583669024735,0.02205438139802951,0.0,0.35012239407189505,0.6883499286355942,0.2264940263509314,0.11705081510056373,0,9,8,3,0,-1,5,1,0.2482456140350877,0.07515657620041749,0.3234672304439746,0.15555555555555545,0.22377622377622378,0.31107954545454547,0.06936326085262254
62,Penguins Of Madagascar,2014,2010,Dreamworks,Animation,0.3601241122908648,0.4639138399648166,0.1838713741878701,0.2074187540615542,0.4959378051139219,0.8054000238909313,0.39576891737537534,0.14486931805814227,2,6,12,5,0,3,7,2,0.3089912280701754,0.18371607515657618,0.34038054968287523,0.2474074074074074,0.4205794205794206,0.33309659090909094,0.1093215582875356
63,Trolls,2016,2010,Dreamworks,Animation,0.3044816062344742,0.6120348705619332,0.08219706863404097,0.0929569604384386,0.4642234195136155,0.7976720763157936,0.32325556728645066,0.1787268476176588,2,5,8,4,0,2,6,2,0.33881578947368424,0.12943632567849683,0.3731501057082452,0.16888888888888898,0.44255744255744256,0.4630681818181818,0.09677200135915733
64,Turbo,2013,2010,Dreamworks,Animation,0.2797136142540663,0.6355737609851793,0.07761039471480102,0.10774093549241824,0.4311950565770713,0.7676460059016394,0.30969467013154794,0.1570998978663077,1,5,8,4,0,1,6,2,0.2986842105263158,0.12734864300626303,0.36469344608879484,0.17925925925925923,0.36663336663336665,0.37997159090909094,0.07394289212471031
65,Home,2015,2010,Dreamworks,Animation,0.2974217408461647,0.5852107903590761,0.12603654739387615,0.05143334556575363,0.4057419695892909,0.741543676209785,0.3532968403882221,0.14510420057729898,1,5,10,4,0,1,6,2,0.2692982456140351,0.12943632567849683,0.36152219873150104,0.16888888888888898,0.3046953046953047,0.37215909090909094,0.0514488041043428
66,Megamind 3D,2010,2010,Dreamworks,Animation,0.31921633389180154,0.5718874844335575,0.1008351433459117,0.1276112556218585,0.4530246584201697,0.7866262685975263,0.3645080517716497,0.17091049805775968,2,5,10,4,0,2,6,2,0.3510964912280702,0.13152400835073064,0.40591966173361516,0.1777777777777778,0.5034965034965035,0.4701704545454546,0.04678362573099415
67,Madagascar 2 Escape 2 Africa,2008,2010,Dreamworks,Animation,0.2671042065462752,0.6441678151855155,0.09295103543139872,0.10280191517843608,0.4209842920384085,0.7541040825851497,0.32547839665027234,0.14498439709969527,1,5,10,4,0,1,6,2,0.3734649122807018,0.1148225469728601,0.3456659619450317,0.17629629629629628,0.43756243756243757,0.38423295454545453,0.10715392310484335
68,How to Train Your Dragon,2010,2010,Dreamworks,Animation,0.2414784466884984,0.6832826002230461,0.08111671609464055,0.06315886793360226,0.4257580841425113,0.7531846762250852,0.2644073550026709,0.13224273851942994,1,5,8,4,0,1,6,2,0.2625,0.1189979123173277,0.35306553911205074,0.18666666666666665,0.28771228771228774,0.32670454545454547,0.06586006586006586
69,Madagascar 3 Europe's Most Wanted,2012,2010,Dreamworks,Animation,0.30327984479722314,0.5705236983614359,0.10873413392558627,0.1013831401566897,0.4230359802681293,0.7522741798231986,0.3472100889078681,0.14105209030243165,2,5,10,4,0,1,6,2,0.32280701754385965,0.12943632567849683,0.3509513742071881,0.18814814814814818,0.36363636363636365,0.3984375,0.06150031502144177
70,Antz,1998,1990,Dreamworks,Animation,0.3171036290893453,0.564775847842772,0.1118665202050112,0.12151270691842295,0.4287552993351269,0.7653651197683818,0.38678264780756255,0.16308806242097726,2,5,10,4,0,1,6,2,0.33706140350877195,0.13569937369519824,0.3668076109936575,0.18814814814814818,0.3986013986013986,0.42826704545454547,0.17018370552482415
71,The Prince of Egypt,1998,1990,Dreamworks,Animation,0.3593140317519391,0.5801976708910708,0.07452202019000731,0.10766726988653608,0.5089253958272668,0.8312725624767605,0.3962910021427432,0.24952812173112784,2,5,8,4,0,3,7,3,0.18837719298245614,0.13987473903966596,0.41649048625792806,0.17333333333333334,0.1998001998001998,0.2215909090909091,0.04168130195527456
72,My Neighbor Totoro,1988,1980,StudioGhibli,Animation,0.8213137203038958,0.27965402765225433,0.12670000826004768,0.4932456792256222,0.8939505203503939,0.8968915476006388,0.7414644252138887,0.8764260082951989,8,7,10,6,8,5,9,12,0.13201754385964912,0.11273486430062629,0.30549682875264267,0.16888888888888898,0.16183816183816183,0.18821022727272727,0.057161207450224794
73,Grave of the Fireflies,1988,1980,StudioGhibli,Animation,0.2888864218861429,0.6066912152050672,0.08624030878094002,0.12901879050908305,0.4400544293711441,0.7695301565461682,0.34263846834549005,0.14923896548806434,1,5,8,4,0,2,6,2,0.15109649122807017,0.1148225469728601,0.36892177589852004,0.18074074074074076,0.17182817182817184,0.24431818181818182,0.050777349878761945
74,Kikis Delivery Service,1989,1980,StudioGhibli,Animation,0.2915277449769054,0.6061918634255954,0.03677753132406758,0.047405951137639464,0.4225012850747681,0.7584687301672612,0.33119796988042816,0.1522020807037737,1,5,8,4,0,1,6,2,0.26096491228070173,0.11273486430062629,0.40380549682875255,0.14814814814814814,0.3916083916083916,0.41761363636363635,0.026488095238095238
